Country,Food,Biodiversity,Emissions,Democracy,Education,Energy Consum,GDP,Happiness,Health Expend,High Tech Exports,Homicide Rates,Journal Articles Published,Population Density,Military Expenditure,Economic Freedom,Research Expenditure,Suicide Rate,Undernourishment,Women Empowerment
St. Kitts and Nevis,2576.199567,0.0567859171,1.42,NA,NA,70,24369.3801105601,NA,1332.3185745,NA,33.6,13.2,241.2730769231,NA,NA,NA,0.6,NA,NA
St. Lucia,15570.49381,1.3628620102,0.61,NA,4.8416600227,38,10990.7206668878,NA,897.63924689,5.1860155947,21.6,0.8,275.9590163934,NA,70,NA,4.6,NA,NA
St. Vincent and the Grenadines,23149.96118,1.0079500284,0.63,NA,NA,31,11028.4654162085,NA,554.50677611,0.0584440235,25.6,2.2,197.5769230769,NA,70,NA,6.8,6.2,NA
Sudan,10279424.71,5.1391254969,0.03,2.37,NA,6.7,4173.2158978098,4.139,221.45468869,NA,6.5,375.1,72.1382619625,NA,NA,NA,9.7,NA,NA
Suriname,136038.2349,2.6831345826,1.29,6.77,NA,79,16969.5452910101,6.269,743.91634367,20.7493847806,9.5,15.2,3.5130576923,NA,30,NA,22.5,8,0.12
Swaziland,308981.3739,0.1277683135,0.27,3.09,NA,13,8426.5296628849,4.867,563.85521937,NA,NA,37.9,121.0618604651,2,40,NA,25.3,26.8,0.109
Sweden,2637305.212,0.2981260647,1.34,9.45,7.7177300453,236,46420.4188888162,7.291,4243.8428661,13.8977743646,0.9,19361.8,35.2646049617,1.1,90,3.160900116,11.7,NA,0.486
Switzerland,2677582.376,0.2271436684,1.28,9.09,5.0533099174,158,60535.1587571323,7.509,6186.6512763,26.3986085527,0.5,21060.4,284.5607855046,0.7,90,2.9666199684,12.6,NA,0.376
Syrian Arab Republic,5327006.41,0.8659852357,0.6,1.43,NA,42,NA,3.069,168.94631357,NA,NA,310.5,207.4735010619,NA,10,NA,0.5,NA,0.059
Taiwan,5100639.508455,NA,3.02,7.83,NA,210,NA,6.379,NA,NA,NA,NA,NA,1.9,70,NA,NA,NA,NA
Tajikistan,1488545.703,0.6956274844,0.11,1.95,4.0180301666,26,2779.8761426089,4.996,169.58536797,NA,1.4,70.8,132.601264647,1.1,20,0.1177000031,3.7,33.2,0.104
Tanzania,9131315.495,14.7643384441,0.05,5.58,3.4814300537,2.7,2667.2906614546,3.666,125.97917279,2.736665741,7.9,378.9,337.6980006774,1.5,25,0.5292400122,11.2,32.1,0.292
Thailand,33341484.24,8.0210107893,1.24,5.09,4.1256699562,74,16305.4545639887,6.474,658.23795641,20.4314399888,3.9,8630.8,81.4339897042,1.6,40,0.4828599989,15.6,7.4,0.057
Timor-Leste,133520.3011,0.6388415673,0.07,7.24,7.6762399673,2.4,2259.0619403307,NA,96.32172005,NA,NA,NA,217.469468729,1.1,20,NA,4.9,26.9,NA
Togo,814231.1479,0.312322544,0.09,3.41,4.83796978,3.6,1459.7967273883,3.303,118.93162864,0.1543676262,9.2,69.1,512.4579886008,1.7,30,0.2695200145,5.1,11.4,NA
Tonga,33024.73979,0.9653605906,0.46,NA,NA,23,NA,NA,249.83697745,2.374890466,0.1,1.3,220.7013888889,NA,25,NA,4.9,NA,NA
Trinidad and Tobago,143706.5471,2.2430437252,9.22,7.1,NA,758,32596.5148886991,6.168,1662.901839,NA,25.9,159.9,191.8220272904,1,50,0.0781600028,11.1,7.4,0.201
Tunisia,3942696.369,0.4968767746,0.68,6.72,6.2382998466,31,11397.2351495653,5.045,790.59446632,4.6913000919,3.1,4206.8,80.4213632853,2.2,40,0.6410300136,2,5,0.17
Turkey,39180721.79,6.2322544009,1.2,5.12,NA,61,19618.2247113953,5.389,1053.4842909,1.93515164,4.3,30402.3,114.318325689,2.1,40,1.0071300268,2.2,5,0.103
Turkmenistan,2723637.874,1.8455423055,3.43,1.83,3.0492498875,187,16498.8929538904,5.658,276.16892108,NA,4.3,6.9,11.9303236652,NA,5,NA,14.9,5,NA
Tuvalu,912.309275,0.2697331062,NA,NA,NA,NA,NA,NA,663.21781135,NA,20.3,0.3,371.1,NA,NA,NA,6.7,NA,NA
Uganda,5712534.353,2.7683134583,0.03,5.22,2.2009301186,1.9,1825.3070707638,3.739,145.81361228,2.4426875687,11.8,473.9,1015.302812672,1.4,25,NA,17.6,25.5,0.271
Ukraine,23700863.94,0.468483816,1.78,5.7,6.6716499329,119,7915.8708737254,4.324,686.70485084,6.5121566263,NA,7217.8,45.571124767,4,25,0.6587200165,16.9,NA,0.098
United Arab Emirates,439656.0349,0.2129471891,5.25,2.75,NA,728,70237.9477494003,6.573,2233.3404015,8.4634088506,0.7,1679.1,160.1500956938,5.7,55,0.6999999881,1.3,5,0.115
United Kingdom,16029738.49,3.5491198183,2,8.31,5.6862502098,134,41324.5563251827,6.725,3310.7048719,20.6471665842,0.9,97332.2,340.4704955979,2,90,1.7006900311,6.9,NA,0.335
United States,220432754.9,94.2220329358,4.38,8.05,NA,313,55836.7926308733,7.104,9145.8281514,18.2293829228,3.9,412541.5,49.2362680406,3.3,80,2.7252800465,10.3,NA,0.162
Uruguay,4295572.84,1.249290176,0.7,8.17,NA,57,21200.5878108841,6.545,1714.6448709,7.9297939285,7.8,590.6,18.6123243058,1.8,70,0.3344199955,14,5,0.101
Uzbekistan,12654422.28,1.093128904,1.1,1.95,NA,78,5995.8730114357,5.987,330.23560549,NA,3.2,346.6,75.4038787024,NA,15,0.1977699995,6.3,5,NA
Vanuatu,82481.87425,2.0868824532,0.13,NA,4.9108300209,8.2,NA,NA,115.22462344,NA,2.9,7.1,55.5339622642,NA,40,NA,4.5,6.4,NA
Venezuela,7352664.579,25.3265190233,1.81,5,NA,117,NA,6.084,655.8668814,0.0013268053,62,1196.1,47.5331557168,0.6,5,NA,3.6,5,0.139
Vietnam,30516959.46,12.0528109029,0.48,3.53,6.3031101227,25,6022.6225535653,5.061,308.30011403,26.9315177783,NA,1848.4,338.8790176412,2.3,15,NA,6.5,11,0.124
Yemen,1855989.058,3.2367972743,0.2,2.24,NA,12,NA,3.724,200.10671977,1.2091409616,6.7,127.1,96.2661098168,4.6,30,NA,5.4,26.1,0.026
Zambia,1943096.722,3.7620670074,0.06,6.28,NA,11,3852.658973708,4.795,191.73394295,1.7040709136,NA,117.3,141.0684741522,1.9,30,NA,18.9,47.8,0.107
Zimbabwe,1661108.247,1.9307211811,0.24,3.05,NA,14,1793.5860922636,4.193,NA,1.7144924693,6.7,210.2,104.078200853,2.7,10,NA,7.7,33.4,0.175
Andorra,NA,0,1.69,NA,3.0644199848,NA,NA,NA,3338.0311749,NA,0,5.9,128.1957446809,NA,NA,NA,5,NA,NA
Monaco,NA,0,NA,NA,1.0219500065,NA,NA,NA,6122.5113991,NA,NA,34.4,37011.4093959732,NA,NA,NA,12.7,NA,NA
Palau,NA,1.249290176,2.94,NA,NA,NA,15286.0426912901,NA,1287.5510975,20.1803022764,3.1,3.5,63.7434782609,NA,NA,NA,3.9,NA,NA
San Marino,NA,0,NA,NA,NA,NA,NA,NA,3708.5013647,NA,NA,6.8,499.4333333333,NA,NA,NA,4,NA,NA
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,7.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somaliland region,NA,NA,NA,NA,NA,NA,NA,5.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
